Date,Henry Hub
9/26/14,3.88
10/3/14,4.02
10/10/14,3.87
10/17/14,3.82
10/24/14,3.63
10/31/14,3.65
11/7/14,3.83
11/14/14,4.16
11/21/14,4.34
11/28/14,4.16
12/5/14,3.75
12/12/14,3.66
12/19/14,3.69
12/26/14,2.94
1/2/15,3.09
1/9/15,3.03
1/16/15,3.08
1/23/15,2.95
1/30/15,2.91
2/6/15,2.72
2/13/15,2.75
2/20/15,2.9
2/27/15,3.13
3/6/15,3.04
3/13/15,2.76
3/20/15,2.8
3/27/15,2.79
4/3/15,2.64
4/10/15,2.67
4/17/15,2.61
4/24/15,2.6
5/1/15,2.57
5/8/15,2.75
5/15/15,2.88
5/22/15,2.99
5/29/15,2.8
6/5/15,2.65
6/12/15,2.78
6/19/15,2.9
6/26/15,2.8
7/3/15,2.79
7/10/15,2.75
7/17/15,2.89
7/24/15,2.88
7/31/15,2.87
8/7/15,2.8
8/14/15,2.88
8/21/15,2.75
8/28/15,2.69
9/4/15,2.69
9/11/15,2.7
9/18/15,2.7
9/25/15,2.61
10/2/15,2.49
10/9/15,2.38
10/16/15,2.48
10/23/15,2.38
10/30/15,2.12
11/6/15,2.02
11/13/15,2.11
11/20/15,2.09
11/27/15,2.15
12/4/15,2.13
12/11/15,1.96
12/18/15,1.72
12/25/15,1.68
1/1/16,2.27
1/8/16,2.38
1/15/16,2.32
1/22/16,2.2
1/29/16,2.22
2/5/16,2.11
2/12/16,2.16
2/19/16,1.94
2/26/16,1.82
3/4/16,1.57
3/11/16,1.64
3/18/16,1.79
3/25/16,1.79
4/1/16,1.86
4/8/16,1.96
4/15/16,1.9
4/22/16,1.91
4/29/16,1.92
5/6/16,1.96
5/13/16,2
5/20/16,1.89
5/27/16,1.84
6/3/16,2.15
6/10/16,2.36
6/17/16,2.59
6/24/16,2.75
7/1/16,2.89
7/8/16,2.82
7/15/16,2.81
7/22/16,2.79
7/29/16,2.85
8/5/16,2.88
8/12/16,2.77
8/19/16,2.73
8/26/16,2.82
9/2/16,2.94
9/9/16,2.87
9/16/16,3.02
9/23/16,3.11
9/30/16,3.01
10/7/16,2.91
10/14/16,3.17
10/21/16,3.14
10/28/16,2.72
11/4/16,2.5
11/11/16,2.22
11/18/16,2.44
11/25/16,2.76
12/2/16,3.21
12/9/16,3.69
12/16/16,3.57
12/23/16,3.51
12/30/16,3.69
1/6/17,3.47
1/13/17,3.27
1/20/17,3.29
1/27/17,3.27
2/3/17,3.12
2/10/17,3.04
2/17/17,2.87
2/24/17,2.62
3/3/17,2.52
3/10/17,2.75
3/17/17,2.96
3/24/17,2.99
3/31/17,3.03
4/7/17,3.18
4/14/17,3.05
4/21/17,3.1
4/28/17,3.09
5/5/17,3.14
5/12/17,3.12
5/19/17,3.21
5/26/17,3.18
6/2/17,3.03
6/9/17,2.98
6/16/17,3.03
6/23/17,2.89
6/30/17,3.01
7/7/17,2.95
7/14/17,2.96
7/21/17,3.09
7/28/17,2.96
8/4/17,2.8
8/11/17,2.85
8/18/17,2.95
8/25/17,2.97
9/1/17,2.93
9/8/17,2.91
9/15/17,2.96
9/22/17,3.09
9/29/17,2.96
10/6/17,2.84
10/13/17,2.92
10/20/17,2.84
10/27/17,2.91
11/3/17,2.78
11/10/17,3.12
11/17/17,3.1
11/24/17,3.05
12/1/17,2.94
12/8/17,2.84
12/15/17,2.77
12/22/17,2.69
12/29/17,3.03
1/5/18,5.71
1/12/18,3.24
1/19/18,4.12
1/26/18,3.43
2/2/18,3.3
2/9/18,2.75
2/16/18,2.54
2/23/18,2.62
3/2/18,2.64
3/9/18,2.74
3/16/18,2.71
3/23/18,2.66
3/30/18,2.67
4/6/18,2.79
4/13/18,2.78
4/20/18,2.83
4/27/18,2.8
5/4/18,2.75
5/11/18,2.76
5/18/18,2.8
5/25/18,2.83
6/1/18,2.88
6/8/18,2.92
6/15/18,2.99
6/22/18,2.99
6/29/18,2.98
7/6/18,2.91
7/13/18,2.89
7/20/18,2.78
7/27/18,2.79
8/3/18,2.8
8/10/18,2.96
8/17/18,3
8/24/18,3.01
8/31/18,2.97
9/7/18,2.94
9/14/18,2.93
9/21/18,3.03
9/28/18,3.06
10/5/18,3.23
10/12/18,3.3
10/19/18,3.26
10/26/18,3.32
11/2/18,3.28
11/9/18,3.58
11/16/18,4.23
11/23/18,4.67
11/30/18,4.43
12/7/18,4.49
12/14/18,4.38
12/21/18,3.73
12/28/18,3.26
1/4/19,2.92
1/11/19,2.89
1/18/19,3.5
1/25/19,3.19
2/1/19,2.9
2/8/19,2.59
2/15/19,2.65
2/22/19,2.71
3/1/19,2.91
3/8/19,3.28
3/15/19,2.89
3/22/19,2.86
3/29/19,2.71
4/5/19,2.7
4/12/19,2.72
4/19/19,2.62
4/26/19,2.56
5/3/19,2.59
5/10/19,2.6
5/17/19,2.67
5/24/19,2.66
5/31/19,2.66
6/7/19,2.45
6/14/19,2.41
6/21/19,2.4
6/28/19,2.34
7/5/19,2.31
7/12/19,2.47
7/19/19,2.44
7/26/19,2.3
8/2/19,2.24
8/9/19,2.11
8/16/19,2.21
8/23/19,2.27
8/30/19,2.28
9/6/19,2.46
9/13/19,2.64
9/20/19,2.63
9/27/19,2.52
10/4/19,2.33
10/11/19,2.26
10/18/19,2.25
10/25/19,2.25
11/1/19,2.62
11/8/19,2.82
11/15/19,2.73
11/22/19,2.58
11/29/19,2.49
12/6/19,2.38
12/13/19,2.24
12/20/19,2.28
12/27/19,2.03
1/3/20,2.05
1/10/20,2.09
1/17/20,2.06
1/24/20,1.93
1/31/20,1.95
2/7/20,1.89
2/14/20,1.9
2/21/20,2
2/28/20,1.88
3/6/20,1.8
3/13/20,1.86
3/20/20,1.82
3/27/20,1.74
4/3/20,1.63
4/10/20,1.77
4/17/20,1.72
4/24/20,1.85
5/1/20,1.71
5/8/20,1.84
5/15/20,1.63
5/22/20,1.78
5/29/20,1.76
6/5/20,1.7
6/12/20,1.7
6/19/20,1.52
6/26/20,1.57
7/3/20,1.71
7/10/20,1.78
7/17/20,1.77
7/24/20,1.72
7/31/20,1.82
8/7/20,2.13
8/14/20,2.17
8/21/20,2.39
8/28/20,2.52
9/4/20,2.16
9/11/20,2.16
9/18/20,1.93
9/25/20,1.68
10/2/20,1.65
10/9/20,1.91
10/16/20,2.17
10/23/20,2.74
10/30/20,3.09
11/6/20,2.78
11/13/20,2.75
11/20/20,2.39
11/27/20,2.39
12/4/20,2.69
12/11/20,2.44
12/18/20,2.7
12/25/20,2.72
1/1/21,2.38
1/8/21,2.74
1/15/21,2.82
1/22/21,2.54
1/29/21,2.71
2/5/21,3.12
